dovddolaš tobdolâš 
dulpái nurssáá 
gohpolas turdáá 
gohppái roggáá 
gohččui kieppii 
hutkkálaš utkáá 
iđidaš iiđeedlâš 
keaisárlaš kiäisárlâš 
logádat lovádâs 
luohkkái luákkáá 
mollui smiäru 
oaččálaš uážálâš 
orrul uáccáá 
riidálas kaađâš 
rossii rossii 
rossui rossii 
ráđálaš ráđđáá 
tiidii passaa 
uddui udduu 
vieljalaš viljâlâš 
várrái várálâš 
áhčálaš iäčálâš 
ánssáškeahttá áánsášmettum 
čálekeahttá čälimettum 
báikkiid suulân 
ráđđái ráđđáá 
čatnagasas čonâsist 
čatnagassii čonâsân 
bonjahat toppiittâh 
gieldá kuolbâfiskispáinu 
guolbmá porge 
mearkabiire vittápirrâdâh 
arvái arvaa 
ballalas palolâš 
duoddul tyestil 
nealgái niälgáá 
nárrii nirráá 
riidui rijduu 
arveš iäljár 
buozus pyeccee 
dagolaš viälgulâš 
duhkorahkes leikkii 
duhkordallalas stulláá 
duoldalas huálššáá 
duskái puáššáá 
gulccas hyeni 
gulles murriš 
herskui ranttu 
klovkken skelmušiđ 
luktui paasnik 
máhken viärdágâš 
njihtalas piätulâš 
njuvvui njivláá 
seahčat čuuvâs 
sesttolaš šiäštálâs 
sierralaš ereslágán 
skoddui soovđâs 
sorpmálaš vaahâglâš 
suoldnái suálnum 
veahkálaš išálâš 
čuvdda haijii 
duhtosii tuođâi 
duolbasii liäddud 
máistot  njävhistiđ 
njahppit  nivkkeđ 
