[lemma = "galgat"][msd = ".*Ill.*"]
Boađus: 1 160
Ovddit1
2
Čuovvovaš
Cealkkačájeheapmi
	Administrative texts –
oahppiid oahpahus 	galgá sidjiide 	addit gulle #aux
Kap. 544 , Poasta 90 Álggahanloatna Ráđđehus dáhttu ságaškuššamiid maŋŋil Sámedikkiin ja Finnmárkku fylkkadikkiin ahte Láhka riektediliid ja eatnamiid ja luondduvalljodagaid hálddaheami birra Finnmárkku fylkkas ( finnmárkolága ) njuolggadusat mat máinnašit Finnmárkoopmodaga , 	galget fápmui 	boahtit 2006 nuppi kvártalas . #aux
Dieđuin galgá deattuhuvvot ahte skuvlaeaiggát válddedettiin oahppiid skuvlii galgá váldit čielgasa das , 	galgágo oahppái 	sámegiela oahpahus . #Ill
Bachelorbargu 	galgá profešuvdnii 	gullevaš ja temáhtalaččat čatnasit pedagogihkkii ja oahppimáhttui ja/dahje/ja eará fágaid .
Guollebázahusaid 	galggai roggái 	rádjat , amas haksogoahtit .
Nu guhkás go vejolaš , 	galge olbmuide 	juohkit daid báikkiid gosa juo ledje ásaiduvvan .
Sii geain ii lean mainna sáhku mákse , 	galge giddagasvuhtii 	láibbiin ja čáziin .
Seammá ráŋggáštus 	galggai sidjiide 	geat dihte buori guollebáikki , eai ge mannan dohko .
Maiddái daid 	galggai doarvái 	oastit Finnmárkku dárbbuid gokčamii .
Danin válljejedje čoahkkinolbmuid geat 	galge fylkkamánnái 	ovddidit ášši .
Go siidaoasis lea njeallje jagi maŋŋálaga leamaš boazolohku vuollel 50 , de 	galgá jođiheaddjái 	dieđihuvvot ahte doallu heaittihuvvo jus boazolohku nuppi dieđáhusas ii leat badjel 50 .
Siida 	galgá dan 	muddui go vejolaš , lágidit ealu geahčadeapmái , ii ge viggat dan hehttet .
Nugo láhkaevttohusa 9. kapihttalis boahtá ovdan , de 	galget orohahkii 	ráhkaduvvot geavahan-njuolggadusat , ja dat galget ráhkaduvvot guovlluid árbevirolaš geavaheami vuođul .
Dalle 	galgá siidii 	ásahuvvot boazodoallofoanda . #DE-Ill
Dan dihte 	galget fondii 	ráhkaduvvot njuolggadusat , ja daid galgá fylkkaboazodoallostivra dohkkehit , jura sihkkarastin dihte ahte foanda geavahuvvo dainna lágiin ahte sihkkarastá gullevaččaide ávkki foanddas .
NSB navdá ahte máksá sullii 500-600 miljovnna ruvnno jahkái , jus gáibiduvvo ahte 	galgá ollásii 	oláheapmi buohkaide jagi 2012 rádjái .
Govttolašvuođagáibádus ahte buot kollektiivafievrredeapmi ja buot almmolaš visttit 	galget ollásii 	olaheamis oalle fargga , šaddá badjelmeari divrras .
Lávdegoddi 	galgá dasa 	lassin árvvoštallat man dásis osku- ja eallinoaidnoservodagat galget hálddašit almmolaš doaimmaid ja jus de ožžot hálddašit almmolaš rievttalaš doaimmaid galgá go de gáibiduvvot eanet eavttut omd. miellahtuid logu jnv. .
Áššeosolaš 	galgá ovddasteaddjái 	addit fápmudusa juogo njálmmálaččat lávdegottis dahje čálalaččat .
Lága § 52 mielde 	galgá geassesiidii 	válljejuvvot stivra mas lea ovddasvástádus lágidit oktasaš doaimmaid ja hálddašit siidda oktasaš rusttegiid .
Jus siidii bohtet ruđat nu movt namuhuvvo § 47:s ( buhtadus , doaibmadivat jna. ) , de 	galgá siidii 	ásahuvvot boazodoallofoanda .
Galgá unnimus lági mielde bievlan vuodjit meahccefievrruiguin ja 	galgá dan 	muddui go vejolaš vuodjit dihto máđijaid mielde .
2005:s ovddida Sámediggi dattetge ahte dárbbaša 40 milj. ruvnno gielladoaimmaide , gos 10 milj. kr 	galget guovttegielalašvuhtii 	suohkaniidda ja fylkkasuohkaniidda sámegiela hálddašanguovllus .
ja 	galget dán 	gillii ovddidit aviisailbmademiid .
Jos joavku gávnnaha ahte lea dárbu , de 	galgá dán 	oassáige ráhkadit árvalusa .
Norgga 	galgá johtui 	doaimmahit barggu .
sivva árvvoštallat ášši , 	galgágo sámiide 	addojuvvot sierra sajádat vuođđoláhkii .
Stáhtat galget fuolahit ahte sáddejuvvojit sámegielalaš prográmmat radios ja TVs , ja 	galget dán 	gillii ovddidit aviisailbmademiid .
ealáhusdoaibma váttásmuvvá eará ládje , de 	galgá sidjiide 	máksojuvvot buhtadas .
” Nugo sámit dárbbašit guktuid riikkaid eatnamiid , de 	galgá sidjiide 	boares árbevieru mielde leat lohpi , čakčat ja giđđat , johtit bohccuideasetguin ráji rastá nuppi riikii .
Son 	galggašii ráđđehusaide 	sáhttit eavttuhit láhkanuppástusaid ja ráhkadit vuođu eará politihkalaš mearrádusaide .
