[lemma = "oahpaheaddji"][lemma = "gii"]
Boađus: 717

	Administrative texts –
Teamkoordináhtor Jus lea máŋga 	oahpaheaddji geat 	galget juogadit bagadallama , doaibmat hárjehallanoahpaheaddjiteamas , de galgá okta , teamkoordináhtor , ovddasvástidit ahte barggut juogaduvvojit ja čađahuvvojit .
Teamkoordináhtor Jus lea máŋga 	oahpaheaddji geat 	galget juogadit bagadallama , doaibmat hárjehallanoahpaheaddjiteamas , de galgá okta , teamkoordináhtor , ovddasvástidit ahte barggut juogaduvvojit ja čađahuvvojit .
	Oahpaheaddjit geat 	oahpahit neah
Munnje gal lei álkkit , go mus lei 	oahpaheaddji geainna 	
Kap. 206 Samisk oahpahushálddašeapmi , poasta 50 Doarjja Sámediggái Kapihttal ruhtada Sámedikki oahpahusossodaga doaibmagoluid , oahpponeavvuid buvttadeami ja ráhkadeami ohppiide , sámi oahppoplánaid ráhkadeami ja rađđeaddima ja bagadallama 	oahpaheddjiide geat 	oahpahit sámi ohppiid mánáidgárddis , vuođđoskuvllas ja joatkkaoahphusas .
Davviriikkalaš ovttasbarggu olis gávdno šiehtadus das mii guoská oktasaš bargomárkanii vuođđoskuvlla 	oahpaheddjiide geain 	lea unnimusat golbma jagi oahppu .
Okta 	oahpaheaddji gii 	dán guovllus bargá cealká ahte livččii buoremus bálkáhit dulkka daid ovttastallančoahkkimiidda mat eai leat bistevačča .
- Doarjja neavvut ja bagadallat 	oahpaheddjiid geat 	oahpahit sámegielat ohppiid mánáidgárddis , vuođđoskuvllas ja joatkkaoahpahusas
2000 ` juolludus lei 23,5 milj. kruvnno , ja gokčá doaibmagoluid Sámedikki oahpahusossodaga hálddahusas , sámi ohppiid oahpponeavvui ráhkadeami goluid , erenoamáš pedagogalaš oahpponeavvuid , ja rávvagiid ja bagademiid 	oahpaheddjiide geat 	barget sámi mánáidgárde- , vuođđoskuvla- ja joatkkaskuvlaohppiiguin .
	Oahpaheaddji gii 	galgá bures doaibmat , galgá oažžut vejolašvuođa ovddidit iežas lassi- ja joatkkaoahpa bokte .
	oahpaheaddjit geain 	lea iešguđetlágan gelbbolašvuohta , sáhttet ovttas gokčat sihke fágalaš ja sosiálalaš beliid .
	Oahpaheaddjit geat 	leat geahččalan oahppijođiheami , leat vásihan ahte dat lea hui ávkkálaš oahppi ovdáneapmái , muhto dat gis mielddisbuktá ahte ráhkkananbargu guhku sihke oahppái ja oahpaheaddjái .
Mihttomearrin dál lea nannet suohkaniid ekonomalaš návccaid nu ahte sii sáhttet addit sámegiel ja sámegillii oahpahusa , go gokčá lassegoluid oahpaheaddjebálkkáide mat suohkaniin leat go addet sámegiela ja sámegillii oahpahusa , ja go nanne sámegiel gelbbolašvuođa 	oahpaheddjiin geat 	oahpahit sámegiela .
Oahppovirgelohpi bálkkáin addojuvvo 	oahpaheddjiide geat 	váldet joatkkaoahpu sámegielfágas .
Dasa lassin dárbbaša suohkan 2 oahppovuođuštusa 	oahpaheddjiide geat 	váldet sámegiela alit oahpu lassin vuođuštusaide maid Stáhta oahpahuskantuvra Tromssas juohká .
Diibmomáksomeari ferte bajidit ja ferte eanet leat heivehuvvon suohkaniid gaskamearálaš diibmobálkká mielde 	oahpaheddjiide geat 	oahpahit sámegiela ja sámegillii .
Gažaldagat sámi oahpaheaddjeoahpu birra ja dat mat leat evttohuvvon NA— 2000 : 3 , gieđahallojuvvojit sierra kapihttalis oahpaheaddjeoahppodieđáhusas 2002. 2002 rájes oažžu Stáhta oahppokantuvra Davvi-Trøndelágas guokte lohkanvirggi juohke jagi mat juolluduvvojit 	oahpaheddjiide geat 	váldet oarjelsámegiela joatkkaoahpu ja ožžot čatnanáiggi skuvllain main oahpahuvvo oarjelsámegiella .
Buori oahpahusa eaktun lea ahte leat gávdnamis buorit oahpponeavvut ja ahte gávdnojit doarvái 	oahpaheaddjit geain 	lea gelbbolašvuohta oahpahit sámegillii .
Gitta 1997 rádjái ožžo 	oahpaheaddji geat 	oahpahedje sámegillii dahje sámegielas 10,75 pst. dii-bmologus áigeresursan diekkár oahpahussii ( konverterenresurssa ) .
10,75 pst. diibmologus mii addojuvvo sámegiel ja sámegillii oahpaheapmái , mas geassá 15 pst. , dan hálddašit ain skuvllat ja sáhttet dan geavahit geahpedit lohkanáiggi 	oahpaheddjiide geat 	oahpahit sámegillii ja sámegielas .
Departementta mielas lea dien váttis čađahit danin_go váilot oahppan 	oahpaheaddjit geat 	sáhtáše oahpahit ja go leat unnán sámegielagat geat ohcet oahpaheaddjeohppui , gč. kap. 12.1.1 , mas maid čujuhuvvo ahte leat miha eanebut geat ohcet ođđa lohkanfálaldagaide , muhto oppalohkái leat ain ollu hástalusat oažžut eanebuid oahpu váldit .
Liikká leat lullisámi giellaservodagain stuora hástalusat , sihke danin_go váilot 	oahpaheaddjit geain 	lea lullisámegielas gelbbolašvuohta ja maiddái danin_go váilot lullisámegiel oahpponeavvut miehtá lullisámiguovl-lu .
Gitta 1997 rádjái ožžo 	oahpaheaddji geat 	oahpahedje sámegillii dahje sámegielas 10,75 pst. dii-bmologus áigeresursan diekkár oahpahussii ( konverterenresurssa ) .
10,75 pst. diibmologus mii addojuvvo sámegiel ja sámegillii oahpaheapmái , mas geassá 15 pst. , dan hálddašit ain skuvllat ja sáhttet dan geavahit geahpedit lohkanáiggi 	oahpaheddjiide geat 	oahpahit sámegillii ja sámegielas .
Departementta mielas lea dien váttis čađahit danin_go váilot oahppan 	oahpaheaddjit geat 	sáhtáše oahpahit ja go leat unnán sámegielagat geat ohcet oahpaheaddjeohppui , gč. kap. 12.1.1 , mas maid čujuhuvvo ahte leat miha eanebut geat ohcet ođđa lohkanfálaldagaide , muhto oppalohkái leat ain ollu hástalusat oažžut eanebuid oahpu váldit .
Liikká leat lullisámi giellaservodagain stuora hástalusat , sihke danin_go váilot 	oahpaheaddjit geain 	lea lullisámegielas gelbbolašvuohta ja maiddái danin_go váilot lullisámegiel oahpponeavvut miehtá lullisámiguovl-lu .
Oahpahusláhka addá vejolašvuođa láhčit sámegiel oahpaheami eará vugiid mielde go ii leat vejolaš gávdnat 	oahpaheaddji geas 	lea sámegiel gelbbolašvuohta .
Vai ollislaččat nákcet geavahit ávkin daid pedagogalaš vejolašvuođaid mat elektruvnnalaš mediat leat , de lea dárbu skáhppot viidát gelbbolašvuođa das movt IKT geavaha pedagogalaččat , ja lea dárbu láhčit IKT joatkka- ja lassioahpu 	oahpaheddjiide geat 	galget oahpahit dien suorggis .
