almmaiduvai	almmaiduvvat+V+IV+Ind+Prt+Sg3
barggastuvai	bargat+V+TV+Der/stuvva+V+Ind+Prt+Sg3
barggastuvai	barggastuvvat+V+IV+Ind+Prt+Sg3
bahkkahuvai	bahkkahuvvat+V+IV+Ind+Prt+Sg3
bahkkašuvai	bahkkašuvvat+V+IV+Ind+Prt+Sg3
dolkkastuvai	dolkat+V+IV+Der/stuvva+V+Ind+Prt+Sg3
duolmmastuvai	duolbmat+V+TV+Der/stuvva+V+Ind+Prt+Sg3
duolmmastuvai	duolmmastuvvat+V+TV+Ind+Prt+Sg3
duššastuvai	duššat+V+IV+Der/stuvva+V+Ind+Prt+Sg3
duššastuvai	duššastuvvat+V+IV+Ind+Prt+Sg3
dahpahuvai	dahpa+N+Der/huvva+V+IV+Ind+Prt+Sg3
givssastuvai	giksat+V+IV+Der/stuvva+V+Ind+Prt+Sg3
heahppašuvai	heahppašuvvat+V+IV+Ind+Prt+Sg3
jalostuvai	jallut+V+IV+Der/stuvva+V+Ind+Prt+Sg3
liikkastuvai	liikkastuvvat+V+IV+Ind+Prt+Sg3
lamastuvai	lapmat+V+IV+Der/stuvva+V+Ind+Prt+Sg3
lanjastuvai	latnjat+V+TV+Der/stuvva+V+Ind+Prt+Sg3
manahuvai	manna+N+Der/huvva+V+IV+Ind+Prt+Sg3
suivvastuvai	suivvastuvvat+V+IV+Ind+Prt+Sg3
sagahuvai	saga+N+Der/huvva+V+IV+Ind+Prt+Sg3
sagahuvai	sagaheapme+A+Der/huvva+V+IV+Ind+Prt+Sg3
varahuvai	varra+N+Der/huvva+V+IV+Ind+Prt+Sg3
varahuvai	varahuvvat+V+IV+Ind+Prt+Sg3
varahuvai	varaheapme+A+Der/huvva+V+IV+Ind+Prt+Sg3
arvvohuvai	arvu+N+Der/huvva+V+IV+Ind+Prt+Sg3
arvvohuvai	arvvoheapme+A+Der/huvva+V+IV+Ind+Prt+Sg3
arvvosmuvai	arvvosmuvvat+V+IV+Ind+Prt+Sg3
