bálán	bállit+V+IV+Ind+Prs+Sg1
árvvosmuhtán	árvvosmuvvat+V+IV+Der/ahtti+V+TV+Ind+Prs+Sg1
árvvuhuhtán	árvu+N+Der/huhtti+V+TV+Ind+Prs+Sg1
árvvuhuhtán	árvvuheapme+A+Der/huhtti+V+TV+Ind+Prs+Sg1
ásehuhtán	áse+Sem/Ani+N+Der/huhtti+V+TV+Ind+Prs+Sg1
buoridáhtán	buorre+A+SgGenCmp+Cmp#dáhtá+N+Ess
buoridáhtán	buorre+A+SgGenCmp+Cmp#dáhtá+N+Sg+Nom+PxSg1
buoridáhtán	buorre+A+SgGenCmp+Cmp#dáhtá+N+Sg+Gen+PxSg1
buoridáhtán	buorre+A+SgGenCmp+Cmp#dáhtá+N+Sg+Acc+PxSg1
fiskkodáhtán	fisku+N+SgGenCmp+Cmp#dáhtá+N+Ess
fiskkodáhtán	fisku+N+SgGenCmp+Cmp#dáhtá+N+Sg+Nom+PxSg1
fiskkodáhtán	fisku+N+SgGenCmp+Cmp#dáhtá+N+Sg+Gen+PxSg1
fiskkodáhtán	fisku+N+SgGenCmp+Cmp#dáhtá+N+Sg+Acc+PxSg1
gievrudáhtán	gievrut+V+IV+Actor+N+SgNomCmp+Cmp#dáhtá+N+Ess
gievrudáhtán	gievrut+V+IV+Actor+N+SgNomCmp+Cmp#dáhtá+N+Sg+Nom+PxSg1
gievrudáhtán	gievrut+V+IV+Actor+N+SgNomCmp+Cmp#dáhtá+N+Sg+Gen+PxSg1
gievrudáhtán	gievrut+V+IV+Actor+N+SgNomCmp+Cmp#dáhtá+N+Sg+Acc+PxSg1
gievrudáhtán	gievrut+V+IV+Actor+N+SgGenCmp+Cmp#dáhtá+N+Ess
gievrudáhtán	gievrut+V+IV+Actor+N+SgGenCmp+Cmp#dáhtá+N+Sg+Nom+PxSg1
gievrudáhtán	gievrut+V+IV+Actor+N+SgGenCmp+Cmp#dáhtá+N+Sg+Gen+PxSg1
gievrudáhtán	gievrut+V+IV+Actor+N+SgGenCmp+Cmp#dáhtá+N+Sg+Acc+PxSg1
gudnejáhtán	gudni+N+SgNomCmp+Cmp#jáhti+N+Sg+Nom+PxSg1
gudnejáhtán	gudni+N+SgNomCmp+Cmp#jáhti+N+Sg+Gen+PxSg1
gudnejáhtán	gudni+N+SgNomCmp+Cmp#jáhti+N+Sg+Acc+PxSg1
gudnijáhtán	gudni+N+SgGenCmp+Cmp#jáhti+N+Sg+Nom+PxSg1
gudnijáhtán	gudni+N+SgGenCmp+Cmp#jáhti+N+Sg+Gen+PxSg1
gudnijáhtán	gudni+N+SgGenCmp+Cmp#jáhti+N+Sg+Acc+PxSg1
illudáhtán	illu+N+SgNomCmp+Cmp#dáhtá+N+Ess
illudáhtán	illu+N+SgNomCmp+Cmp#dáhtá+N+Sg+Nom+PxSg1
illudáhtán	illu+N+SgNomCmp+Cmp#dáhtá+N+Sg+Gen+PxSg1
