	## Dáhttu diehtit ođđa {várrepresideanta} nama.
    ## dovdat dábálaš lohkanmáhtu ja {čállinmáhttu} ovdáneami	váldoáššiid ja movt lohkamiin ja čállimiin bargojuvvo álgooahpahusas .
	## Mun dovddan ahte lean váillahan ritnon muoraid ja {muorra} čuovgga, lohká Mari.
    ## Lassin konvenšuvdnaáiddiide , lea okta áidi ceggejuvvon Siijddajávrris Forsvatnet rádjái , ja juohká Bastte ja {Árjjátluovvi} čearuid .

	
	
	Linda!
    #$ Muittalus samid birra lea jorgaluvvon máŋgga gillii; {feasta} , ruoŧa, eŋgelas, duiska , ungára, japana, franska , italia.
    ## dovdat dábálaš {lohkanmáhttu} ja {čállinmáhttu} ovdáneami	váldoáššiid ja movt lohkamiin ja čállimiin bargojuvvo álgooahpahusas .
    ## {Máhttu} sisdoallu lea vuođđodiehtu sámegiela	historjjálaš duogáža birra ja dieđut davvisámi njálmmálaš ja čálalaš giela gaskavuođaid birra suopmaniid ja čállinvugiid dáfus .
    ## Sámi {feasta} dutkan- ja oahppostivra dohkkehan 13.06.12 áššis DOS 48/12/48 .
    ## Oahpahus lágiduvvo dábálaččat golmma lohkanbajis , vuosttas ja nuppi {feasta} áigge.
    ## {Feasta} ja fágaplánaid vuođđun lea 2010 rámmaplána láhkaásahus.
    ## Ohccis galgá leat leamaš sámegiella joatkkaskuvllas juogo 1. dahje 2. giellan , dahje son galgá leat čađahan {feasta} lohkanbadjeoahpu eksámena.
    ## Ohccis galgá leat leamaš sámegiella joatkkaskuvllas juogo 1. dahje 2. giellan , dahje son galgá leat čađahan sámegiela {feasta} eksámena.  
	#$ Mun dovddan ahte lean váillahan ritnon muoraid ja {skábma}  čuovgga, lohká Mari. skábmačuovgga!
	## Ohcci sáhttá maid váldit {feasta} geahččaleami Sámi_allaskuvllas , ja dan vuođul árvvoštallojuvvojit su sámegiela máhttu ja sisabeassanvuođđu .
	## Ohcci sáhttá maid váldit sámegiela geahččaleami Sámi_allaskuvllas , ja dan vuođul árvvoštallojuvvojit su {feasta} máhttu ja sisabeassanvuođđu .
    ## {Feasta} ja girjjálašvuođa oahpus studeanttat galget ovdánahttit nana fágagelbbolašvuođa.
    ## Sámegiela ja {feasta} oahpus studeanttat galget ovdánahttit nana fágagelbbolašvuođa.
    ## {Feasta} hámit ja ráhkadusat giellaoahpahusas.
    ## {Feasta} girjjálašvuohta ja mánáid- ja nuoraidgirjjálašvuohta oahpahusas.
    ## Máinnasteapmi ja {feasta} njálmmálaš árbevierru oahpahusas.
