Nu šattai vejolažžan bivdit stuora sáidehivvodagaid 	álkis 	ja hálbbes neavvuiguin . #ERR álkes
Snoranuohtti lea gehppes ja 	álkis 	veahkkeneavvu . #ERR álkes
Riehpponjohka lea čájehuvvon dás ovdamearkan danin go doppe leat eanemus soahpameahttunvuođat leamaš , muhto maiddái danin go lea 	álkis 	ipmirdahtti duogáš dákkár soahpameahttunvuođaide . #ERR álkes
Ovdal sáhtte ábi lohkat gurremeahttumin , ja sáhtte danin čuovvut moadde 	álkis 	vuođđojurdaga : Ii oktage eaiggáduššan guolleriggodagaid , ja nappo lei buohkain friddja lohpi bivdit . #ERR álkes
Das ii lat mihkkege eará fállat go 	álkis 	johtolat ja buorit hoteallaseaŋggat ( Lindkvist 1993 : 10 ) . #ERR álkes
Lei 	álkis 	vuođđojurdda dasa movt oamastišgoahtit eananbihtá :
Bálkká birra ledje čielga mearrádusat ja lei 	álkis 	njuolggadus boazogehččiid geatnegasvuođaid birra . #ERR álkes
Bargojoavku oaivvilda dán mearrádusa addit čielga ja 	álkis 	njuolggadusa mii álkidahttá dálá moalkás ja váttis njuolggadusaid , ja mii maiddái čilge Sámedikki rievttálaš dili . #ERR álkes
Dáin sáddagiin leat lotnolasat jearahallamat ja studioságastallamat bivnnuhis fáttáin , 	álkis 	reportášat ja vel stuora oassi musihkka .  #ERR álkes
Jus rádjerasttildeaddji boazodoalu galgá govttolaččat sáhttit doaimmahit goappaš bealde riikkaráji , de ferte dáid veahkkeneavvuid beassat fievrridit ráji rastá 	álkis 	vugiin . #ERR álkes
Ággan lea go dát leat 	álkis 	áššit main eai leat máŋggaoaivilvuođat , ja maid lea dárbbašlaš jođánit mearridit . #ERR álkes
Duogážin galget leat dakkár 	álkis 	áššit , main ii leat máŋggaoaivilvuohta , ja maid dárbbaša hoahpus // jođánit mearridit . #ERR álkes
Jus ii leat vejolaš 	álkis 	vugiiguin meroštallat man stuora vahága guođoheapmi lea mielddisbuktán , de ferte vahága sturrodaga mearridit árvvošteami vuođul . #ERR álkes
Jus rádjerasttildeaddji boazodoalu galgá govttolaččat sáhttit doaimmahit goappaš bealde riikkaráji , de ferte dáid veahkkeneavvuid beassat fievrridit ráji rastá 	álkis 	vugiin . #ERR álkes
Ággan lea go dát leat 	álkis 	áššit main eai leat máŋggaoaivilvuođat , ja maid lea dárbbašlaš jođánit mearridit . #ERR álkes
Duogážin galget leat dakkár 	álkis 	áššit , main ii leat máŋggaoaivilvuohta , ja maid dárbbaša hoahpus // jođánit mearridit . #ERR álkes
Jus ii leat vejolaš 	álkis 	vugiiguin meroštallat man stuora vahága guođoheapmi lea mielddisbuktán , de ferte vahága sturrodaga mearridit árvvošteami vuođul . #ERR álkes
Kulturlágain lea dehálaš čuokkis Soria Moria-cealkámušas čađahuvvon , mas lea deattuhuvvon ahte ráđđehus háliida váldit atnui 	álkis 	, dábálaš kulturlága mas boahtá ovdan ahte almmolaš eiseválddiin lea kultursuorgái ovddasvástádus . #ERR álkes
Kulturlágain lea dehálaš čuokkis Soria Moria-cealkámušas čađahuvvon , mas lea deattuhuvvon ahte ráđđehus háliida váldit atnui 	álkis 	, dábálaš kulturlága mas boahtá ovdan ahte almmolaš eiseválddiin lea kultursuorgái ovddasvástádus . #ERR álkes
Kulturlágain lea dehálaš čuokkis Soria Moria-cealkámušas čađahuvvon , mas lea deattuhuvvon ahte ráđđehus háliida váldit atnui 	álkis 	, dábálaš kulturlága mas boahtá ovdan ahte almmolaš eiseválddiin lea kultursuorgái ovddasvástádus . #ERR álkes
Kulturlágain lea dehálaš čuokkis Soria Moria-cealkámušas čađahuvvon , mas lea deattuhuvvon ahte ráđđehus háliida váldit atnui 	álkis 	, dábálaš kulturlága mas boahtá ovdan ahte almmolaš eiseválddiin lea kultursuorgái ovddasvástádus . #ERR álkes
Olbmuin galgá vejolašvuohta muosehuhttima haga vásihit luonddu go doaimmahit luonddusoahppevaš ja 	álkis 	olggustallama hui unnán teknihkalaš láhčimiin . #ERR álkes
- Lagamus mánuid fertet mii buohtastahttit iešguđet ákkaid , ja dát ii leat 	álkis 	dahku , ja iige leat proseassa maid galgá geahppadit meannudit , lohká Aasrud .
Ovdal jagi 2050 galgat mii šaddat dakkár servodahkan mii uhcán nuoskkida ja dat ii leat 	álkis 	bargu , cealká Sundtoft . #ERR álkes
Dakkár mánáiguin lea álki , sii eai gáibit dus nu ollu , soabadit rávisolbmuiguin ja eará mánáiguin , sii leat obalohkái hui 	álkis 	mánát . #ERR álkes
Ovddos guvlui lea deaŧalaš ahte guolleindustriija ovddida eambbo iežas gilvalanovdamuniid , omd. buorrešlájat varasguliid 	álkis 	háhkan . #ERR álkes
Ovddos guvlui lea deaŧalaš ahte guolleindustriija ovddida eambbo iežas gilvalanovdamuniid , omd. buorrešlájat varasguliid 	álkis 	háhkan . #ERR álkes
Dutkamat čájehit ahte ii leat miige 	álkis 	buot váttisvuođaid čoavdi bođu doaibmabijuid mii eastada eretgahččamiid . #ERR álkes
Ohcci galgá buktit 	álkis 	raportta oktan doaimma govaiguin maŋŋil . #ERR álkes
dovdat 	álkis 	, árgabeaivválaš dili sániid , namaid , doahpagiid ja oanehis cealkagiid #ERR álkes
bidjat oktii 	álkis 	sániid oanehis cealkkan #ERR álkes
muosáhit ja dovdat giela luđiid , lávlagiid , sálmmaid , 	álkis 	muitalusaid , máidnasiid , govaid , spealuid , tv-prográmmaid ja digitála reaidduid bokte #ERR álkes
guldalit ja ipmirdit 	álkis 	ságastallamiid ja muitalusaid #ERR álkes
oassálastit 	álkis 	beaivválaš ságastallamis mas geavaha álkis dadjanmálliid nu ahte ipmirda earáid ja ieš ipmirduvvo #ERR álkes
