Mun doalan dán sártni dárogillii - dál han buohkat dihtet ahte mun máhtán sámegiela , ja mu sárdni lea sámegiela máidnun maid hálidan ahte dážat ge galget 	áddet 	. ¶
Dan láhkai ohppen jo mánnán 	áddet 	ahte giella lea maiddá duhkoras . ¶
Go prošeakta nogai , de mánát sáhtte 	áddet 	dábálaš oarjilsámegiela . ¶
Dárbu lea oažžut buoret systemáhtalaš dieđuid dáid gielaid ovdánanproseassaid birra vai mii 	áddet 	sámegielaid boahtteáigásaš ovdánaneavttuid . ¶
Lea dehálaš 	áddet 	movt karbona ja nitrogena birrajorru lea ja mo karbona lea vuorkáresursan , vai sáhttá álggahit golloseastevaš doaibmabijuid eanandoalus . ¶
Ollu earáidege go ovttagielagiidda lea váttis gulahallat dárogielain ja 	áddet 	dárogielat informašuvnna heahtedilis , omd. buohcuvuođa dahje persovnnalaš váttisvuođaid oktavuođas . ¶
Máŋgasat eai jáhke , ahte fidnomáhtolaš veahkkeapparahtta sáhttá 	áddet 	sin dili . ¶
Gielddaid , fylkkagielddaid ja guovlluid dearvvašvuođafitnodagaid bargoaddit galget 	áddet 	dilálašvuođa , ja buktit sámi perspektiivvaid ovdan ee. oktasaš oahppodoaimmaid olis . ¶
Vaikko mearrádus mii evttohuvvo láhkii juo čuovvu čálekeahtes njuolggadusain , de lea mihá buoret ahte njuolggadus čállojuvvo láhkii , nu ahte dán prinsihpa ii galgga sáhttit boastut 	áddet 	. ¶
Ulbmilmearrádus addá mávssolaš čujuhusaid go galgá 	áddet 	ja geavahit lága eará mearrádusaid . ¶
Norggas leat sullii 25 000 olbmo juohkásan golmma hui iešguđetlágan váldosuopmanii , geat máhttet hállat ja/dahje/ja 	áddet 	sártnodeami sámegillii . ¶
Nu dan ferte 	áddet 	” riikkaidrastásažžan ” . ¶
Dát caggá levgema sámi leavggain Norgga olgoriikastašuvnnain , gos dán livččii álki boastut 	áddet 	. ¶
Anaya maid čuoččuha ahte dál lea vuoiggalaččat dohkketmeahttun figgat 	áddet 	duohpaga¶
Vaikke sávaldat , dáhttu dahje eavttut sápmelaš eretčoavdimis eai leat gávdnamis otná dilis , ja vaikke ná ii gártta šaddat jurddašahtti nu guhkás go otne sáhttá einnostit , de berre datte-ge 	áddet 	ahte sámiid bealde lea váigat buorrinváldit dákkár gáržžiduvvon iešmearridanvuoigatvuođa . ¶
Oahpaheaddjái lea deaŧalaš geahččalit 	áddet 	máná ja váhnemiid kultuvrralaš duogáža . ¶
Mánáin ja váhnemiin geat aiddo leat fárren Norgii , leat dieđusge stuorát váttisvuođat 	áddet 	buot mii dáhpáhuvvá birrasis go sidjiide geat leat orron dáppe moadde jagi . ¶
Sohkabeal dutkanfáddán lea leamaš 	áddet 	nissonolbmuid ja almmáiolbmuid gaskasaš oktavuođaid sámi servodagas . ¶
Sohkabeal dutkanfáddán lea leamaš 	áddet 	nissonolbmuid ja almmáiolbmuid gaskasaš oktavuođaid sámi servodagas . ¶
čielgasit ja dárkilit ja 	áddet 	dan mii dad¶
čielgasit ja dárkilit ja 	áddet 	dan mii dad¶
Dan dihte leat unnán konkrehta mearrádusat maid olis livččii sáhttán ásahuvvot vuođđu dan hárrái movt lága galgá 	áddet 	ja dulkot . ¶
Go nuppástuhttin nettobušehttemii čađahuvvui jagi 1999 rájes , de árvvoštallojuvvui ášši nu ahte ii maidege bušeahttavuogádagas sáhte 	áddet 	nu ahte dakkár doaimmahussii mii lea nettobušehttejuvvon , eai galgga gustot njuolggadusat mat leat dušše stáhtavirgehasaid várás . ¶
Konsultašuvdnaortnegat veahkehit maiddái olbmuid 	áddet 	sámi servodagaid dili ja ovdánanmearkkaid . ¶
Sámediggi sáhttá 	áddet 	ahte lea váttis šaddat ovttaoaivilii siskkáldasat ráđđehusas stuorra ja váttis áššiin . ¶
Oažžut áigái dakkár mearrádusaid maid lea álkit 	áddet 	ja hálddašit¶
Dan dihte leat unnán konkrehta mearrádusat maid olis livččii sáhttán ásahuvvot vuođđu dan hárrái movt lága galgá 	áddet 	ja dulkot . ¶
čielgasit ja dárkilit ja 	áddet 	dan mii dad¶
čielgasit ja dárkilit ja 	áddet 	dan mii dad¶
Go nuppástuhttin nettobušehttemii čađahuvvui jagi 1999 rájes , de árvvoštallojuvvui ášši nu ahte ii maidege bušeahttavuogádagas sáhte 	áddet 	nu ahte dakkár doaimmahussii mii lea nettobušehttejuvvon , eai galgga gustot njuolggadusat mat leat dušše stáhtavirgehasaid várás . ¶
Konsultašuvdnaortnegat veahkehit maiddái olbmuid 	áddet 	sámi servodagaid dili ja ovdánanmearkkaid . ¶
Sámediggi sáhttá 	áddet 	ahte lea váttis šaddat ovttaoaivilii siskkáldasat ráđđehusas stuorra ja váttis áššiin . ¶
čielgasit ja dárkilit ja 	áddet 	dan mii dad¶
Guorahallama bohtosat čájehit ahte guorahallojuvvon guovlluin leat 17 % sámegielagat , dat mearkkaša sullii 25 000 olbmo leat sámegielagat , dan áddejumis ahte nagadit čuovvut ja 	áddet 	sámegielat sártnodeami . ¶
Geavaheddjiin leat iešguđetlágan dárbbut ja ovdehusat gávdnat ja 	áddet 	informašuvnna . ¶
Geavaheddjiin leat iešguđetlágan dárbbut ja ovdehusat gávdnat ja 	áddet 	informašuvnna . ¶
Sohkabeal dutkanfáddán lea leamaš 	áddet 	nissonolbmuid ja almmáiolbmuid gaskasaš oktavuođaid sámi servodagas . ¶
Go nuppástuhttin nettobušehttemii čađahuvvui jagi 1999 rájes , de árvvoštallojuvvui ášši nu ahte ii maidege bušeahttavuogádagas sáhte 	áddet 	nu ahte dakkár doaimmahussii mii lea nettobušehttejuvvon , eai galgga gustot njuolggadusat mat leat dušše stáhtavirgehasaid várás . ¶
Go nuppástuhttin nettobušehttemii čađahuvvui jagi 1999 rájes , de árvvoštallojuvvui ášši nu ahte ii maidege bušeahttavuogádagas sáhte 	áddet 	nu ahte dakkár doaimmahussii mii lea nettobušehttejuvvon , eai galgga gustot njuolggadusat mat leat dušše stáhtavirgehasaid várás . ¶
Go nuppástuhttin nettobušehttemii čađahuvvui jagi 1999 rájes , de árvvoštallojuvvui ášši nu ahte ii maidege bušeahttavuogádagas sáhte 	áddet 	nu ahte dakkár doaimmahussii mii lea nettobušehttejuvvon , eai galgga gustot njuolggadusat mat leat dušše stáhtavirgehasaid várás . ¶
Mii fertet 	áddet 	, maid máilmmiviidosaš fámu sirdáseapmi mearkkaša , ja fuolahit alcceseamet jierpmálaš sajádaga . ¶
MÁHTTU Kandidáhtas - lea máhttu skuvlla ja oahpaheaddjeámmáha iešvuođas , historjjás , ovdáneamis ja sajádagas sámi servodagas ja servodagas muđui - lea máhttu láhkavuođu birra , nu movt skuvlla ulbmila , árvovuođu , oahppoplánaid ja ohppiid iešguđetlágan vuoigatvuođaid birra - lea máhttu oahppoplánabargguin ja skuvllas organisašuvdnan - lea máhttu mánáid ja nuoraid oahppamis , ovdáneamis ja ahtanuššamis iešguđetlágan sosiála , máŋggakultuvrralaš ja máŋggagielalaš konteavsttain - lea máhttu luohkkájođiheamis ja luohkkábirrasis ja máhttá ovdánahttit buriid oktavuođaid ohppiiguin ja ohppiid gaskkas - lea máhttu 	áddet 	man mávssolaš ja eaktudahtti buorre gulahallan lea ja buorre ovttasbargu skuvlla ja ruovttuid gaskkas - lea máhttu máŋggalágan bargovugiin , oahppanresurssain ja oahppanarenain ja áddet mihttomeriid , sisdoalu , bargovugiid , árvvoštallama ja ovttaskas ohppiid eavttuid oktiigullevašvuođa - lea máhttu mánáid ja nuoraid bajásšaddanbirrasa , dásseárvvu ja identitehtabarggu birra - lea máhttu mánáin , geat leat váttis diliin ja mánáid vuoigatvuođain našunála ja riikkaidgaskasaš perspektiivvas , riikkaidgaskasaš šiehtadusaid vuođul , álgoálbmotjulggaštusaid ja našunála lágaid vuođul - lea máhttu sámi , našunála ja riikkaidgaskasaš dutkan- ja ovddidanbargguin mat gusket oahpaheaddjeámmáhii - lea máhttu sámi árbevirolaš máhtus iešguđetge fágasurggiid siskkobealde - lea máhttu sámi mánáid ja nuoraid bajásšaddandilálašvuođaid hástalusain¶
