Danin báhce sápmelaččat dávjá 	čohkkát 	iežaset guollehivvodagain
Go čoahkkinlatnja lea nu ahte juvlastuologeavaheaddjit besset dohko , muhto eai sártnestulluide eai leat jurddašan ahte logaldalli sáhttá 	čohkkát 	juvlastuolus .
WGDD:a 9. 	čohkkán 	( čakčam. 2003 ) bukte davviriikkat ( Danmarku , Suopma // Finland , Islanda , Norga ja Ruoŧŧa // Sverige ) oktasaš evttohusa eamálbmogiid iešmearrideami vuoigatvuođas , oainne Mildosa .
Sosiála- ja dearvvasvuođadepartemeanta lea bivdán Sámedikki evttohit olbmuid geat sáhttet 	čohkkát 	fitnodatstivrrain .
Sosiála- ja dearvvasvuođadepartemeanta lea bivdán Sámedikki evttohit olbmuid geat sáhttet 	čohkkát 	fitnodatstivrrain .
Ráđđehus áigu vuoruhit gárrenmirkkodivššu ja psyhkalaš dearvvašvuođa , ja loktet divššohasjoavkku mii lea 	čohkkán 	“ čihkosis beavdeguoras ” .
Deaŧalaš lea ahte ii doama bearehaga dáinna , muhto atná dan áiggi maid dárbbaša gávdnat sin geat leat dohkálaččamusat 	čohkkát 	komišuvnnas ja meahcceduopmostuolus .
Deaŧalaš lea ahte ii doama bearehaga dáinna , muhto atná dan áiggi maid dárbbaša gávdnat sin geat leat dohkálaččamusat 	čohkkát 	komišuvnnas ja meahcceduopmostuolus .
Son gii eaktodáhtolaččat dahje váruhemet rihkku dán lága mearrádusaid dahje dán lága vuođul addojuvvon mearrádusaid dahje dasa váikkuha , sáhkohallá dahje dubmehallá giddagassii 	čohkkát 	gitta 6 mánnui jus rihkkun ii deaivvahala garrasat ráŋggáštusmearrádussii .
Jus leat erenoamáš čavgejeaddji dilit , de sáhttá dubmehallat giddagassii 	čohkkát 	gitta 2 jahkái .
Olmmoš ii leat buohcci vaikko 	čohkká 	ge rullastuolus .
Čakčat čálii Dagens Næringsliv ahte ođđa ráđđehus ii čuovo njuolggadusaid das gii galgá beassat 	čohkkát 	beavdegeažis go lea stáhtaráđečoahkkin šloahtas .
Sáhkolaččat geainna eai leat máksinnávccat besset de válljet háliidit go gednet ráŋggáštusduomu sáhkkobálvalusa bokte , dan sadjái go 	čohkkát 	giddagasas .
Dalle go mun ledjen mánná , lávejin 	čohkkát 	máŋga diimmu lovttas ja goarrut dohkábiktasiid , ja doppe de ilbme máŋggalágan huŧkosat .
Lovttas 	čohkkát 	“ lohkančiegas ” .
3 geardde boahtán beare maŋŋit = > jaskatčohkkán ( 	čohkkát 	sierra lanjas oahpaheddjiin , iige beasa bargat maidege ) , jaskatčohkkán plánejuvvo // organiserejuvvo tiimaid bokte .
Jus oahppi dahje ohppiidjoavku 	čohkká 	feaskáris diimmus
	čohkkát 	ovdal dahje maŋŋil skuvlla
oahppi ferte 	čohkkát 	, dahje bargat leavssuid leaksolohkanáiggi
Boares stohkosa mas ledje maid rávis olbmot mielde gohčodedje ” gielisbeaŋkka nalde 	čohkkát 	” .
Nubbi 	čohkká 	gealkká nalde deaddun .
Go Sámediggi lea čoahkis , galget áirasat 	čohkkát 	válgabiirriid nummarvuoruid mielde , vrd. sámelága mearrádusaid .
Nugo namuhuvvon , de 	čohkká 	Sámediggi bargojoavkkus OHD:in ja Gielddaid lihtuin mii galgá geahčadit sámi beliid gieldasuorggis .
Nugo namuhuvvon , de 	čohkká 	Sámediggi bargojoavkkus OHD:in ja Gielddaid lihtuin mii galgá geahčadit sámi beliid gieldasuorggis .
Son 	čohkká 	energiija , resursa ja dálkkádaga divišuvdnastivrras .
Dáhpáhuvvá maid ahte oahppit šaddet 	čohkkát 	unna lanjažiin dahje earalágan unohas lanjain šearpma ovddas , almmá veahki haga .
Finnmárkku fylkkamánni lea bovden Sámedikki 	čohkkát 	dásseárvočumppes Finnmárkkus .
Finnmárkku fylkkamánni lea bovden Sámedikki 	čohkkát 	dásseárvočumppes Finnmárkkus .
Dáhpáhuvvá maid ahte oahppit šaddet 	čohkkát 	unna lanjažiin dahje earalágan unohas lanjain šearpma ovddas , almmá veahki haga .
Dat ahte 	čohkkát 	kantuvrras ja dušše hállat lea eahpelunddolaš .
SNPL jođiheaddji searvvai , ja 	čohkkái 	čoahkkáigeassi panelas , mii gohčoduvvo Stockholmmas cuoŋománus .
Go Sámediggi lea čoahkis , galget áirasat 	čohkkát 	válgakreatsaid nummarvuoruid mielde , vrd. Sámelága mearrádusaid .
Láhkalávdegoddi bovdii Sámedikki 	čohkkát 	departemeanttaid gaskasaš refereansajoavkkus .
Go Sámediggi lea čoahkis , galget áirasat 	čohkkát 	válgabiirriid nummarvuoruid mielde , vrd. sámelága mearrádusaid .
Dan oktavuođas sii leat eanas 	čohkkán 	ja vuordán ohcamušaid .
Sámi prográmmaráđi jođiheaddji 	čohkká 	maid Kringkastingsráđis , mii ságaškuššá ja cealká NRK prográmmadoaimmaid váldolinnjáid birra .
Mis , geat leat fásta barggus , geat 	čohkkát 	kantuvrrain dahje geaid bargosadji lea guhkkin eret dovddus meahcceguovlluin , ii leat vejolašvuohta jođašit olgun nu dávjá .
Buot diŋggat dán govas leat diŋggat mat duođas gávdnojit huksenbáikkis , maiddái dat man nalde nissonolmmoš 	čohkká 	.
Áššit maid guorahalaiga ledje USA gaskavuohta ON julggaštussii álgoálbmotvuoigatvuođaide , dálkkádatrievdamat árktalaš guovlluin ja indianár- aktivista Leonard Peltiera luovosluoitin guhte lea 	čohkkán 	giddagasas .
Indianár Leonard Peltier lea 	čohkkán 	giddagasas 1976 rájis USAs .
Sámedikki lahtut lávdegottiin leat 	čohkkán 	guhkit go sin doaibmaáiggi , vuorddidettiin vejolaš rievdadusaid boraspireláhkaásahusas .
