[word = "rahkadit"]
Boađus: 51
Cealkkačájeheapmi
	North Saami corpus –
Ávžžuhan eará boazodoalli 	rahkadit 	seamma lágan raporta mii sáhttá leat veahkeneavvu gielddaide ja eará ealáhusaide , dadjá Smuk .
Kárášjoga joavku rOlFa lea dán geasi čuojahan miehtá Finnmárkku ja máŋgii jo čájehan ahte máhttet eallima 	rahkadit 	go čuojahit .
Skuvllas besset mánát earret eará oahppat buđehiid čohkket , muorjemáihlli ja measttu 	rahkadit 	, muoraid čuollat , skuvlagođiin bargat , gámasuoidneráhkadeami , ja guolásteami .
Mun manan sandálaid 	rahkadit 	!
Ja soai leaba maid beassan 	rahkadit 	tv-ášši , mii ikte lei Ođđasiin .
Anna Cicilie mielas lei hui somá 	rahkadit 	tv-ášši , Elen Kristina mielas lei fas dohkálaš somá .
Skuvllas besset mánát earret eará oahppat buđehiid čohkket , muorjemáihlli ja measttu 	rahkadit 	, muoraid čuollat , skuvlagođiin bargat , gámasuoidneráhkadeami , ja guolásteami .
Ovdaprošeavtta ulbmil lea buktit plána ja válddahusa lullisámegiela oahppoprošektii mii galgá čađahuvvot golmma jagi badjel , ja bušeahta 	rahkadit 	, joatká Gaski .
Romssa Universitehta dutki , Trond Trosterud , muitala sii háliidit geavahit sámi digitála giellateknologiija veahkehit 	rahkadit 	giellaoahpahusprográmmaid komi- , njenecagillii ja gielddasámegillii .
Dat lea nu aseheapme ahte lea veadjemeahttun 	rahkadit 	dakkár vakuuma máilbmi buoremus laboratoriijain .
Olga lea máistán lohttejuvvon dorski masa son bures liikui vaikko lei imašlaš vuohki 	rahkadit 	guoli .
Ja soai leaba maid beassan 	rahkadit 	tv-ášši , mii ikte lei Ođđasiin .
Anna Cicilie mielas lei hui somá 	rahkadit 	tv-ášši , Elen Kristina mielas lei fas dohkálaš somá .
Muhto lihká ii dieđihan FeFo go mearridedje guhtta mánu maŋŋá 	rahkadit 	foandda maid dušše FeFo galggai hálddašit .
Sofia Jannok máhtii 	rahkadit 	eallima festiválakroas ja oaččui olbmui mielde lávlut ja juoigat .
« Sámediggi šaddá dan maid sápmelaččat ieža 	rahkadit 	das » .
Kirsten Marit Olsen , Guovdageainnus , lea ožžon sámedikkis 80.000 ruvnnu doarjaga , 	rahkadit 	ođđa CD- skearru mas árbevirolaš luođit 2009:s gullojit .
Mun manan sandálaid 	rahkadit 	!
V Boares vuojadanáldása 	rahkadit 	iešguđetlágan doaluidlatnjan .
, lea son guhte fuomášii kaleandara 	rahkadit 	.
Sárgunfilmmaid lea vejolaš ođđa vugiin dihtoris 	rahkadit 	.
Son ii loga sáhttit vuorjat olbmuid geat máhtáše dakkár cd:id 	rahkadit 	.
– Mii gal dieđusge fertiimet 	rahkadit 	sutnje luođi , muitala rOlfFa joavkku váldolávlu , son maid muitala ahte sin joavku lei áidna joavku Gaskaijarockas geat orro festivála leairras .
Danne sii gáibidit , ahte gielddahálddahus bargagoahtá 	rahkadit 	positiivvalaš gova gielddas .
Historjjá álggii ná : Sámediggi lei juo guhká rahčan 	rahkadit 	« Sámi riddo- ja vuotnaguovlluid doaibmaplána » , mii lea okta daid miljárdda plánain maid Sámediggi lea ráhkadan , muhto maid ii oktage hálit oaidnit .
Gii lea gii vuoitá dahje táhpe jus 	rahkadit 	gievrras sámegielat áviissa ?
AUF dáhttu 	rahkadit 	sierra « Guovllu Agenda 21 » , ja « Fylkkagieldda birasplána Finnmárkui » .
Sii maid dáhttot áigeresurssat 	rahkadit 	oahpponeavvuid , ja vel ahte juohkinlohku luohkáid sturrodaga ektui buorrána .
Gilisearvvi jahkečoahkkin vuosttalda garrasit áigumuša 	rahkadit 	Goahteluoppal-guovllu álbmotmeahccin .
ja buohkaid friddja diktit 	rahkadit 	TV !
Son lea álgan guldalit techno-musihka , ja sus lea jurdda 	rahkadit 	musihka mas leat veaha techno-inspiration .
Sii galget 	rahkadit 	seaidneáviisa OD birra , gosa ruđat mannet .
VG lei čállán dan birra , ja Nordahl Carlsen oaččui dalle idea 	rahkadit 	filmma dán girjjás searvvi birra .
Finnmárkkufylkkadigg&#x92; áigu dál vuoruhit kultuvrra , ja dainna lágin 	rahkadit 	500 kultuvra bargosaji fylkii .
Eakton lea ahte 	rahkadit 	buriid eavttuid Finnmárkku eanan vuoigatvuođaid hálddašeapmái , nu ahte ovttasbarggut gaskkal albmogiid Finnmárkkus doibmet soabalašvuođas .
Álggos lei Mikkelsen jurddašan 	rahkadit 	dušše dokumeanttašuvnna ovddeš mearrásámiid árbevieruin .
Soai galgaba goappašagat ddáidaga 	rahkadit 	báikkalaš ávdnasiiguin
Dat mearkkaša ahte gielddat ovttasráđii kultuvraskuvllain dahje vuođđuskuvllain 	rahkadit 	dákkár plána , mas lea oktasaš áddejupmi ahte kultuvra lea dehálaš mánáide skuvllas .
Muhto hutkkai go mii leimmet , mii mearrideimmet 	rahkadit 	savzzagallamallasa .
Nuorat v &#x88;ldet iezas dihtoriid ovtta sadjái , omd. ovtta skihppára lusa , bidjet oktii dihtoriid ja spillejit spillaid , juhket ja 	rahkadit 	programmaid .
– Leat viggan 	rahkadit 	márkaniid Sámi Cup olis , vai misge Kárášjogas leat geassemárkanat .
Katja buollá 	rahkadit 	álbma guhkes fikšenfilmma iežas álbmogis .
– Kulturjoavku galgá 	rahkadit 	sámi kulturčájálmasa min arktalaš oappá- ja vielljaálbmogii , muitala kulturprográmma jođiheaddji Dag Broch .
Giđa rádjái 	rahkadit 	15 prográmma ja reastta vel boahtte čavčča , muitala Labba .
Álggos han lei plánejuvvon 	rahkadit 	stuorra ” badelanda ” , muhto dat livčče leamen menddo divrras , gielddas ii livčče ráđđi dasa .
-”Asttoáigis láven cohkkát garasjas hutkat ja 	rahkadit 	odda lávlai , mun okto , vuoi earaidguin .
-”Asttoáigis láven cohkkát garasjas hutkat ja 	rahkadit 	odda lávlai , mun okto , vuoi earaidguin .
Buoridandihte gelbbolašvuođa , lea Mánáidsuodjalusa Gelbbolašvuođaguovddáš Davvi-Norggas ožžon doarjaga 	rahkadit 	njeallje fáddágihpagažža mánáidsuodjalusa birra sámi oktavuođain .
Dat boahta sihke das ahte lea váttis fidnet olbmuid geain lea gelbbolašvuohta 	rahkadit 	oahpponeavuid , ja das go ii gávdno doarvái ruhta álggahit nu olu prošeavttaid ahte buot fágasurggiid govččašii .
Dasa lassin ahte lei váttis 	rahkadit 	tiibmoplána ja daid olu bihttáide , de lei váttis gávdnat girjjiid .
Orohat galgá geavahan-njuolggadusaid olis maiddái 	rahkadit 	njuolggadusaid orohaga oktasaš resurssaid geavaheami birra , nugo áiddiid // gárddiid ja eará oktasaš rusttegiid .
