Ayrshire+N+Prop+Ess	Ayrshiren	ˈɑyr#shˌi.re>n
Ayrshire+N+Prop+Sg+Acc	Ayrshire	ˈɑyr#shˌi.re>
Ayrshire+N+Prop+Sg+Gen	Ayrshire	ˈɑyr#shˌi.re>
Ayrshire+N+Prop+Sg+Nom	Ayrshire	ˈɑyr#shˌi.re>
Ayrshire+N+Prop+Sg+Loc	Ayrshires	ˈɑyr#shˌi.re>s
Ayrshire+N+Prop+Der/laš+A+Pl+Acc+PxDu1	Ayrshirelaččaideame	ˈɑyr#shˌi.re>.lɑt.tʃɑj.dĕæ.me
Ayrshire+N+Prop+Der/laš+A+Pl+Acc+PxPl2	Ayrshirelaččaideattet	ˈɑyr#shˌi.re>.lɑt.tʃɑj.dĕæt.teh
Ayrshire+N+Prop+Der/laš+A+Pl+Acc+PxSg3	Ayrshirelaččaidis	ˈɑyr#shˌi.re>.lɑt.tʃɑj.dis
Ayrshire+N+Prop+Der/laš+A+Pl+Com	Ayrshirelaččaiguin	ˈɑyr#shˌi.re>.lɑt.tʃɑj.gujn
Ayrshire+N+Prop+Der/laš+A+Pl+Gen+PxPl1	Ayrshirelaččaideamet	ˈɑyr#shˌi.re>.lɑt.tʃɑj.dĕæ.meh
Ayrshire+N+Prop+Der/laš+A+Pl+Gen+PxSg1	Ayrshirelaččaidan	ˈɑyr#shˌi.re>.lɑt.tʃɑj.dɑn
Ayrshire+N+Prop+Der/laš+A+Pl+Ill+PxDu1	Ayrshirelaččaidasame	ˈɑyr#shˌi.re>.lɑt.tʃɑj.dɑ.sɑ.me
Ayrshire+N+Prop+Der/laš+A+Pl+Ill	Ayrshirelaččaide	ˈɑyr#shˌi.re>.lɑt.tʃɑj.de
Ayrshire+N+Prop+Der/laš+A+Pl+Loc+PxDu2	Ayrshirelaččaineatte	ˈɑyr#shˌi.re>.lɑt.tʃɑj.nĕæt.te
Ayrshire+N+Prop+Der/laš+A+Pl+Loc	Ayrshirelaččain	ˈɑyr#shˌi.re>.lɑt.tʃɑjn
Ayrshire+N+Prop+Der/laš+A+Pl+Nom+PxPl1	Ayrshirelaččaideamet	ˈɑyr#shˌi.re>.lɑt.tʃɑj.dĕæ.meh
Ayrshire+N+Prop+Der/laš+A+Pl+Nom	Ayrshirelaččat	ˈɑyr#shˌi.re>.lɑt.tʃɑh
Ayrshire+N+Prop+Der/laš+A+Sg+Acc+PxPl3	Ayrshirelaččaset	ˈɑyr#shˌi.re>.lɑt.tʃɑ.seh
Ayrshire+N+Prop+Der/laš+A+Sg+Acc+PxSg3	Ayrshirelaččas	ˈɑyr#shˌi.re>.lɑt.tʃɑs
Ayrshire+N+Prop+Der/laš+A+Sg+Acc	Ayrshirelačča	ˈɑyr#shˌi.re>.lɑt.tʃɑ
Ayrshire+N+Prop+Der/laš+A+Sg+Com+PxPl2	Ayrshirelaččaineattet	ˈɑyr#shˌi.re>.lɑt.tʃɑj.nĕæt.teh
Ayrshire+N+Prop+Der/laš+A+Sg+Com+PxSg2	Ayrshirelaččainat	ˈɑyr#shˌi.re>.lɑt.tʃɑj.nɑh
Ayrshire+N+Prop+Der/laš+A+Sg+Gen+PxSg2	Ayrshirelaččat	ˈɑyr#shˌi.re>.lɑt.tʃɑh
Ayrshire+N+Prop+Der/laš+A+Sg+Gen+PxSg3	Ayrshirelaččas	ˈɑyr#shˌi.re>.lɑt.tʃɑs
Ayrshire+N+Prop+Der/laš+A+Sg+Loc	Ayrshirelaččas	ˈɑyr#shˌi.re>.lɑt.tʃɑs
Ayrshire+N+Prop+Der/laš+A+Sg+Loc+PxSg1	Ayrshirelaččastan	ˈɑyr#shˌi.re>.lɑt.tʃɑs.tɑn
Ayrshire+N+Prop+Der/laš+A+Sg+Loc+PxSg2	Ayrshirelaččastat	ˈɑyr#shˌi.re>.lɑt.tʃɑs.tɑh
Ayrshire+N+Prop+Der/laš+A+Sg+Loc+PxSg3	Ayrshirelaččastis	ˈɑyr#shˌi.re>.lɑt.tʃɑs.tis
Ayrshire+N+Prop+Der/laš+A+Attr	Ayrshirelaš	ˈɑyr#shˌi.re>.lɑʃ
