Aachen+N+Prop+Ess	Aachenin	ˈɑːts.he.n>in
Aachen+N+Prop+Sg+Gen+Allegro	Aachen	ˈɑːts.hen>
Aachen+N+Prop+Sg+Nom	Aachen	ˈɑːts.hen>
Aachen+N+Prop+Sg+Ill	Aachenii	ˈɑːts.he.n>ij
Aakula+N+Prop+Sem/Sur+Ess	Aakulan	ˈɑː.ku.lɑ>n
Aakula+N+Prop+Sem/Sur+Pl+Ill	Aakulaide	ˈɑː.ku.lɑ>i.de
Aanaar+N+Prop+Sg+Nom	Aanaar	ˈɑː.nɑːr>
Aarikkala+N+Prop+Ess	Aarikkalan	ˈɑː.rik.kˌɑ.lɑ>n
Aarni+N+Prop+Sem/Mal+Ess	Aarnin	ˈɑːr.ni>n
Aasiaat+N+Prop+Ess	Aasiaatan	ˈɑː.si.ɑː.t>ɑn
Aasiaat+N+Prop+Sg+Acc	Aasiaat	ˈɑː.si.ɑːt>
Aasiaat+N+Prop+Sg+Loc	Aasiaatas	ˈɑː.si.ɑː.t>ɑs
Aasiaat+N+Prop+Sg+Ill	Aasiaatii	ˈɑː.si.ɑː.t>ij
Aatsinki+N+Prop+Sem/Sur+Sg+Gen	Aatsinki	ˈɑːt.siŋŋ.ki>
Aavikko+N+Prop+Sem/Sur+Pl+Acc	Aavikkoid	ˈɑː.vik.ko>id
Aavikko+N+Prop+Sem/Sur+Pl+Nom	Aavikkot	ˈɑː.vik.ko>h
Aavikko+N+Prop+Sem/Sur+Sg+Loc	Aavikkos	ˈɑː.vik.ko>s
Abela+N+Prop+Ess	Abelan	ˈɑ.be.lɑ>n
Abela+N+Prop+Sg+Acc	Abela	ˈɑ.be.lɑ>
Abela+N+Prop+Sg+Gen	Abela	ˈɑ.be.lɑ>
Abela+N+Prop+Sg+Nom	Abela	ˈɑ.be.lɑ>
Abela+N+Prop+Sg+Ill	Abelai	ˈɑ.be.lɑ>i
Abela+N+Prop+Sg+Loc	Abelas	ˈɑ.be.lɑ>s
Afula+N+Prop+Ess	Afulan	ˈɑ.fu.lɑ>n
Afula+N+Prop+Sg+Acc	Afula	ˈɑ.fu.lɑ>
Afula+N+Prop+Sg+Gen	Afula	ˈɑ.fu.lɑ>
Afula+N+Prop+Sg+Nom	Afula	ˈɑ.fu.lɑ>
Afula+N+Prop+Sg+Ill	Afulai	ˈɑ.fu.lɑ>i
Afula+N+Prop+Sg+Loc	Afulas	ˈɑ.fu.lɑ>s
Agila+N+Prop+Ess	Agilan	ˈɑ.gi.lɑ>n
Agila+N+Prop+Pl+Com	Agilaiguin	ˈɑ.gi.lɑ>i.gujn
Agila+N+Prop+Pl+Nom	Agilat	ˈɑ.gi.lɑ>h
Agila+N+Prop+Sg+Ill	Agilai	ˈɑ.gi.lɑ>i
Agila+N+Prop+Sg+Loc	Agilas	ˈɑ.gi.lɑ>s
Agricola+N+Prop+Sem/Sur+Ess	Agricolan	ˈɑg.ri.tsˌo.lɑ>n
Agricola+N+Prop+Sem/Sur+Pl+Gen	Agricolaid	ˈɑg.ri.tsˌo.lɑ>id
Agricola+N+Prop+Sem/Sur+Pl+Ill	Agricolaide	ˈɑg.ri.tsˌo.lɑ>i.de
Agricola+N+Prop+Sem/Sur+Pl+Loc	Agricolain	ˈɑg.ri.tsˌo.lɑ>in
Agricola+N+Prop+Sem/Sur+Pl+Nom	Agricolat	ˈɑg.ri.tsˌo.lɑ>h
Agricola+N+Prop+Sem/Sur+Sg+Gen	Agricola	ˈɑg.ri.tsˌo.lɑ>
Agricola+N+Prop+Sem/Sur+Sg+Nom	Agricola	ˈɑg.ri.tsˌo.lɑ>
Agricola+N+Prop+Sem/Sur+Sg+Com	Agricolain	ˈɑg.ri.tsˌo.lɑ>in
Agricola+N+Prop+Sem/Sur+Sg+Ill	Agricolai	ˈɑg.ri.tsˌo.lɑ>i
Ahmasalo+N+Prop+Sem/Sur+Pl+Ill	Ahmasaloide	ˈɑh.mɑ.sˌɑ.lo>i.de
Ahokainen+N+Prop+Sem/Sur+Pl+Ill	Ahokaisiidda	ˈɑ.ho.kɑj>.sijt.tɑ
Ahokainen+N+Prop+Sem/Sur+Sg+Ill	Ahokaisii	ˈɑ.ho.kɑj>.sij
Aholainen+N+Prop+Sem/Sur+Sg+Com	Aholaisiin	ˈɑ.ho.lɑj>.sijn
Ahoniemi+N+Prop+Sg+Loc	Ahoniemis	ˈɑ.ho#nˌie.mi>s
Ahponen+N+Prop+Sem/Sur+Ess	Ahponenin	ˈɑh.po>.ne.nin
Ahponen+N+Prop+Sem/Sur+Pl+Nom	Ahponenat	ˈɑh.po>.ne.nɑh
Ahponen+N+Prop+Sem/Sur+Sg+Loc	Ahponenis	ˈɑh.po>.ne.nis
Ahponen+N+Prop+Sem/Sur+Sg+Com	Ahposiin	ˈɑh.po>.sijn
Ahtola+N+Prop+Ess	Ahtolan	ˈɑh.to.lɑ>n
Ahtola+N+Prop+Sg+Gen	Ahtola	ˈɑh.to.lɑ>
Ahtonen+N+Prop+Sem/Sur+Pl+Nom	Ahtonenat	ˈɑh.to>.ne.nɑh
Ahtonen+N+Prop+Sem/Sur+Sg+Gen	Ahtosa	ˈɑh.to>.sɑ
Ahvenjärvi+N+Prop+Sg+Com	Ahvenjärvjn	ˈɑh.ven#jærv>jn
Ahvonen+N+Prop+Sem/Sur+Sg+Com	Ahvoneniin	ˈɑh.vo>.ne.nijn
Ahvonen+N+Prop+Sem/Sur+Sg+Acc	Ahvosa	ˈɑh.vo>.sɑ
Aikioniemi+N+Prop+Sem/Sur+Sg+Nom	Aikioniemi	ˈɑjː.kio#nˌie.mi>
Aila+N+Prop+Sem/Fem+Ess	Ailan	ˈɑjː.lɑ>n
