Abrahamsen+N+Prop+Sem/Sur+Attr	Abrahamsens	ˈɑb.rɑː.hˌɑmː.sen>s
Adolfsen+N+Prop+Sem/Sur+Attr	Adolfsens	ˈɑː.dolf.sen>s
Adsjaria+N+Prop+Der/laš+A+AttrCmp+Der/kultuvrrat+A+Attr	Adsjarialaškultuvrrat	ˈɑd.ʃɑː.rˌi.ɑ>.lɑʃ»kˌul.tuvr.rɑt
Aftonbladet+N+Prop+Pl+Gen	Aftonbladetiid	ˈɑf.ton#blˌɑː.de.t>ijh
Aglapsvik+N+Prop+Ess	Aglapsvikan	ˈɑg.lɑːps#viː.k>ɑn
Agulhasstraumen+N+Prop+Der/laš+A+Sg+Com+PxSg2	Agulhasstraumenlaččainat	ˈɑː.gul.hɑs#strøʉ.men>.lɑč.čɑj.nɑt
Ahrenberg+N+Prop+Sem/Sur+Ess	Ahrenbergan	ˈɑː.ren#bær.g>ɑn
Aigina+N+Prop+Der/laš+A+Ess+PxPl2	Aiginalažžaneattet	ˈɑi.ji.nɑ>.lɑž.žɑ.nĕɑt.tet
Aina+N+Prop+Sem/Fem+Der/Dimin+Sg+Acc	Ainaža	ˈɑi.nɑ>.žɑ
Ajman+N+Prop+Sem/Sur+Sg+Loc	Ajmanas	ˈɑj.mɑː.n>ɑs
Akaia+N+Prop+Der/laš+A+Ess+PxSg1	Akaialažžanan	ˈɑː.kɑ.iɑ>.lɑž.žɑ.nɑn
Alunda+N+Prop+Sg+Ill	Alundai	ˈɑː.lun.dɑ>i
Alfrida+N+Prop+Sem/Fem+Der/Dimin+Sg+Nom	Alfridaš	ˈɑːl#frˌiː.dɑ>ʃ
Alhusstrand+N+Prop+Der/laš+A+Ess+PxPl2	Alhusstrandalažžaneattet	ˈɑl.hus#strɑn.n>ɑ.lɑž.žɑ.nĕɑt.tet
Ankersen+N+Prop+Sem/Sur+Sg+Gen	Ankersena	ˈɑŋː.ker.se.n>ɑ
Aosta+N+Prop+Der/laš+A+Attr	Aostalaš	ˈɑosː.tɑ>.lɑʃ
Aosta+N+Prop+Der/laš+A+AttrCmp+Der/áissat+A+Sg+Nom	Aostalašáissat	ˈɑosː.tɑ>.lɑʃ»ˌájs.sɑt
Apulia+N+Prop+Sg+Ill	Apuliai	ˈɑː.pu.lˌi.ɑ>i
Aquæ+N+Prop+Sg+Ill	Aquæi	ˈɑː.ku.æː>i
Arboga+N+Prop+Sg+Com	Arbogain	ˈɑrː.bo.gɑ>in
Arctandria+N+Prop+Sg+Acc	Arctandria	ˈɑrk.tɑːnd.rˌi.ɑ>
Armenia+N+Prop+Der/laš+A+Pl+Com+PxPl2	Armenialaččaideattetguin	ˈɑr.me.nˌi.ɑ>.lɑč.čɑj.dĕɑt.tet.gujn
Asserøy+N+Prop+Der/laš+A+Ess+PxSg2	Asserøyalažžanat	ˈɑs.ser#øy>ɑ.lɑž.žɑ.nɑt
Atlatveit+N+Prop+Sem/Sur+Sg+Ill	Atlatveitii	ˈɑt.lɑː#tvei.t>ij
Avesta+N+Prop+Der/laš+A+Pl+Loc+PxSg3	Avestalaččainis	ˈɑː.ve#stɑː>.lɑč.čɑj.nis
