Armstrong+N+Prop+Sem/Sur+Sg+Gen	Armstronga	ˈɑrm.stron.gɑ
BASIC+N+Prop+Pl+Loc	BASICiin	pˈɑ.si.tsijn
Bráhkkavárri+N+Prop+Sg+Gen+Allegro	Bráhkkaváre	brˈɑhː.kɑ.vˌɑː.re
Cúcuta+N+Prop+Der/laš+A+Attr	Cúcutalaš	tsˈú.tsu.tˌɑ.lɑʃ
D'Urvillemearra+N+Prop+Sg+Gen+Der/t+N+Sg+Gen+PxDu2	D'Urvillemearageatte	d'ur.vil.le.meæ.rɑ»gˌĕæt.te
Dsaudsjikau+N+Prop+Ess	Dsaudsjikaun	dsˈɑud.sji.kɑun
Ejer+N+Prop+Der/laš+A+Sg+Acc+PxPl2	Ejerlaččadet	ˈeː.jer.lˌɑt.tʃɑ.deh
Epidauros+N+Prop+Der/laš+A+Pl+Gen+PxPl1	Epidauroslaččaideamet	ˈe.pi.ðˌɑu.ros.lˌɑt.tʃɑj.dĕæ.meh
FIFA+N+Prop+Sg+Gen	FIFA	fˈi.fɑː
Fuglsang+N+Prop+Sem/Sur+Sg+Gen	Fuglsang	fˈugl#sɑng
Gwich+N+Prop+Sem/Sur+Pl+Loc	Gwichain	gβˈits.hɑːjn
Jauho+N+Prop+Sem/Sur+Sg+Loc	Jauhos	jˈɑu.hos
Münster+N+Prop+Sem/Sur+Attr	Münsters	mˈynː.sters
Olgoáššiidministeriija+N+Prop+Sg+Ill	Olgoáššiidministeriijai	ˈolə.ko.ˌɑːʃ.ʃijd.mˌi.nis.te.rij.jɑj
Powell+N+Prop+Sem/Sur+Pl+Nom	Powellat	phˈoː.βel.lɑh
Ruŋggá+N+Prop+Sg+Gen+Der/t+N+Sg+Nom	Ruŋggát	rˈuŋk.kɑː»h
Twain+N+Prop+Sem/Sur+Sg+Acc	Twaina	tβˈɑj.nɑː
Tétouan+N+Prop+Sg+Loc	Tétouanas	thˈeː.to.ˌu.ɑ.nɑs
Ufuohta+N+Prop+Sg+Ill	Ufuhtii	ˈuː.fuh.tij
Vájeguoika+N+Prop+Sg+Ill	Vájeguikii	vˈɑː.je.gˌujː.çkij
Våer+N+Prop+Sem/Sur+Sg+Gen	Våer	vˈoː.er
Yle+N+Prop+Sg+Ill	Ylei	ˈy.lej
Yussuf+N+Prop+Sem/Mal+Attr	Yussuf	ˈyus.suːf
Zaqaziq+N+Prop+Ess	Zaqaziqan	zˈɑ.kɑː.dsˌi.kɑn
af+N+Prop+Attr	af	ˈɑf
